Vehicle_ID,Mileage_km,Fuel_Consumption_L_per_100km,Engine_Hours,Number_of_Trips,Engine_Temperature_C,Tire_Pressure_PSI,Battery_Voltage_V,Oil_Level_L,Vibration_Units,Noise_Level_dB,Breakdown_Incidents,Part_Replacements,Service_History,MaintenanceRequired
V00040,291014,8.32,8882,1987,85,21.9,13.4,1.78,3.47,73,2,3,1,1
V00041,72447,6.69,6237,194,80,35.2,12.1,4.24,3.84,97,1,1,5,0
V00042,195625,13.81,5002,367,113,41.8,12.7,4.16,3.44,65,0,6,3,1
V00043,58778,17.58,11990,1415,108,24.5,12.9,1.62,9.15,63,3,9,5,1
V00044,125171,8.22,4561,557,111,33.2,10.6,4.9,8.15,64,0,5,2,1
V00045,177168,9.82,7768,2411,110,40.7,14.6,1.72,7.5,77,0,7,3,1
V00046,286794,16.57,743,2055,90,20.6,13.6,1.98,5.31,63,2,0,1,0
V00047,103531,17.94,11817,835,97,34.1,12.7,4.71,7.29,57,3,9,0,0
V00048,81713,12.96,3679,1488,74,30.7,10.7,2.78,7.1,94,2,3,3,1
V00049,234865,14.31,6891,481,73,40.2,14.1,1.61,7.21,89,1,1,0,1
V00050,108244,10.13,2801,167,83,39.3,13.6,3.94,4.72,62,3,5,2,0
V00051,151386,10.06,6934,1538,92,38.7,12.7,3.71,7.18,87,4,3,2,0
V00052,247630,13.81,8052,293,78,44.4,12.5,4.56,8.59,82,3,7,2,0
V00053,145017,11.84,8498,435,107,30.3,10.4,3.37,8.87,81,4,5,5,1
V00054,288904,17.76,2377,1217,97,28.9,14.5,1.59,4.85,65,0,1,5,0
V00055,88317,8.76,9312,1355,86,44.4,11.0,2.67,0.56,96,3,3,4,1
V00056,169559,16.97,10427,781,96,22.9,14.9,4.76,0.76,53,2,5,0,0
V00057,176085,6.4,7098,127,84,39.1,10.0,4.53,3.76,75,2,4,1,0
V00058,184588,7.62,3532,1226,116,40.4,13.1,3.36,7.55,52,0,9,2,1
V00059,234275,14.5,11342,1069,115,29.3,10.8,2.21,3.64,53,4,3,3,1
V00060,143354,6.1,10651,758,109,39.6,14.8,2.99,0.19,90,4,4,1,0
V00061,105416,16.75,6785,517,109,38.4,14.7,2.5,7.06,52,0,5,3,0
V00062,145465,10.17,11386,1341,99,44.3,12.0,1.22,5.78,69,0,4,1,1
V00063,250064,13.32,4729,640,115,24.4,14.8,1.38,3.13,83,4,1,4,0
V00064,277438,10.03,1761,1479,104,34.1,11.7,1.68,6.65,62,1,0,0,0
V00065,235115,17.93,931,307,81,41.7,12.4,2.45,5.36,64,0,3,4,0
V00066,89573,7.58,6867,1562,97,27.6,10.9,1.68,6.58,66,4,9,3,1
V00067,252434,16.97,1258,871,76,34.9,13.4,4.17,1.41,83,3,6,3,0
V00068,295867,13.83,7270,1743,99,30.5,11.5,3.61,2.38,79,0,4,3,0
V00069,79348,14.43,10272,1812,113,21.8,13.8,1.45,2.09,75,4,0,5,0
V00070,203526,12.19,9959,2481,90,28.5,11.6,3.79,6.87,60,3,8,3,0
V00071,230013,6.76,7550,767,93,33.9,14.3,1.99,6.14,62,0,0,1,0
V00072,192944,14.89,11216,1538,110,34.5,13.2,4.71,5.74,92,2,7,1,1
V00073,83272,10.58,7396,960,78,20.4,14.1,3.93,2.64,58,4,8,3,0
V00074,143526,16.33,673,1565,105,38.9,13.1,4.13,8.11,63,1,0,1,0
V00075,298098,11.1,8590,1264,87,40.0,12.5,3.74,5.29,98,3,2,3,0
V00076,147355,17.46,3341,1613,70,39.2,10.5,3.25,5.08,60,0,9,1,0
V00077,249518,13.94,6727,1239,109,33.6,14.1,3.05,1.77,77,3,8,5,0
V00078,132261,10.98,939,1992,107,35.5,13.4,1.48,0.92,53,2,8,1,0
V00079,184567,6.75,2077,323,81,35.7,10.4,3.83,1.51,83,2,3,2,0
V00080,115988,11.86,2949,347,75,24.0,12.9,4.84,9.4,99,1,6,5,1
V00081,293903,13.29,6596,1990,77,24.4,12.1,2.01,5.31,89,3,3,1,0
V00082,87187,13.37,7473,417,105,33.2,13.0,4.09,1.71,55,1,4,1,0
V00083,139451,7.16,4675,384,70,32.8,11.4,4.52,0.24,67,2,8,1,0
V00084,156695,12.1,2002,1674,89,32.6,13.4,3.19,6.61,59,1,5,5,0
V00085,156691,13.4,6540,1195,76,27.4,12.5,3.05,6.58,81,1,6,4,1
V00086,105494,17.07,3141,1140,87,20.2,11.3,1.11,0.09,53,3,5,5,1
V00087,280249,12.07,8909,2178,72,37.4,12.2,3.02,7.43,69,2,5,1,1
V00088,128615,9.84,3976,2329,97,32.8,10.5,3.61,2.97,59,2,2,2,0
V00089,71879,13.82,5540,1569,79,44.4,13.6,1.92,5.85,70,1,8,4,0
V00090,295290,16.89,1762,2261,109,30.6,13.9,3.14,1.95,86,0,2,5,1
V00091,240794,11.01,3025,2115,104,26.7,10.9,2.68,3.43,71,1,9,3,0
V00092,171577,13.84,7872,687,100,42.9,15.0,4.48,0.44,80,4,2,3,0
V00093,129435,14.08,508,1055,84,28.0,11.8,2.08,9.41,96,4,5,4,0
V00094,214816,9.63,4333,582,81,24.1,12.7,4.39,8.93,56,2,7,2,1
V00095,143723,11.93,5367,217,70,40.4,10.7,1.38,3.64,52,1,4,5,1
V00096,89146,11.19,8395,1685,95,42.5,11.9,3.42,3.5,64,0,2,1,1
V00097,221713,6.51,3081,2049,119,27.1,10.4,4.6,4.2,67,2,6,3,1
V00098,128214,16.27,11406,1468,81,43.8,11.8,3.43,9.46,62,0,3,2,1
V00099,288368,14.27,9696,958,89,40.6,14.3,4.88,6.82,66,4,0,2,0
V00100,93354,13.53,5653,389,108,24.1,14.6,3.32,0.53,88,1,0,2,0
V00101,206656,12.88,10772,206,98,22.7,12.4,1.13,3.07,81,3,1,4,1
V00102,160434,13.39,4210,75,84,42.2,14.9,3.29,5.98,59,3,8,3,0
V00103,112048,7.23,7436,366,101,31.2,12.5,1.38,7.33,80,1,2,2,0
V00104,271290,8.59,1966,2296,90,36.7,14.3,4.75,3.41,67,0,1,5,0
V00105,283496,15.18,2560,1686,91,31.3,11.5,2.99,0.62,50,3,4,2,0
V00106,66086,17.84,2059,2140,110,30.5,10.0,1.17,4.01,77,2,1,5,1
V00107,154236,6.77,11471,1793,90,40.8,13.4,1.2,9.01,52,2,8,5,1
V00108,177947,14.42,5467,1925,109,25.9,12.2,2.18,3.42,67,0,4,4,1
V00109,228622,7.93,971,1902,103,29.0,12.5,4.11,5.32,62,4,6,5,0
V00110,217519,11.17,10598,1543,91,43.5,13.8,4.76,7.91,67,3,5,0,1
V00111,222172,15.42,3294,2196,111,34.5,14.5,1.23,4.45,87,2,1,4,0
V00112,283877,11.8,5780,1965,86,22.1,13.3,1.12,6.05,92,0,1,2,1
V00113,284922,6.73,9627,295,89,28.1,12.7,2.3,0.78,67,1,8,5,0
V00114,233500,7.87,4349,1330,97,37.6,13.5,2.17,8.16,72,2,4,1,0
V00115,109427,14.71,1318,2489,112,39.5,12.0,3.48,5.17,84,2,2,2,0
V00116,99188,9.62,9475,1949,90,28.0,12.4,4.25,2.88,61,1,6,4,0
V00117,263621,10.95,5424,462,115,24.5,11.4,3.69,5.13,55,3,5,1,1
V00118,143862,8.14,3057,341,91,32.3,11.7,1.5,8.99,61,2,5,5,0
V00119,190468,14.25,9991,1651,109,42.6,12.8,2.62,8.62,88,2,2,1,1
V00120,74500,8.25,3169,1130,114,37.6,14.1,3.23,7.2,59,3,1,5,0
V00121,136059,16.52,3433,517,111,39.2,13.8,1.87,0.43,63,0,4,5,0
V00122,270210,11.58,1782,1821,96,23.6,14.2,1.32,0.09,58,0,2,0,1
V00123,105794,15.72,10961,2330,100,30.0,13.1,4.86,8.06,61,1,8,2,0
V00124,252669,9.05,3703,784,79,42.0,14.1,2.37,4.8,80,2,0,0,0
V00125,228403,12.32,5816,146,102,30.1,14.2,4.65,9.47,71,3,1,5,1
V00126,284656,8.69,10719,1779,112,22.7,10.2,2.17,0.53,66,4,8,3,1
V00127,74727,7.57,5509,915,104,25.0,10.6,1.21,5.99,83,1,5,1,0
V00128,262006,16.24,10435,2421,86,44.9,10.3,3.03,7.21,94,4,8,5,0
V00129,207532,17.65,8210,872,85,26.1,14.1,3.38,5.7,84,4,3,1,1
V00130,173051,8.71,1897,2458,91,43.0,14.7,2.53,4.95,84,1,9,1,1
V00131,291488,7.77,1895,59,108,42.3,13.8,4.97,8.65,61,1,2,1,0
V00132,104157,10.94,7880,781,115,36.6,11.4,2.56,8.52,64,2,9,3,1
V00133,265234,10.92,2586,1047,76,38.0,10.4,1.13,3.36,64,3,2,3,0
V00134,91128,14.11,7362,1883,93,37.2,14.0,2.77,3.76,83,4,4,5,1
V00135,55413,17.23,1357,1028,89,35.8,13.3,3.64,4.56,70,2,6,2,0
V00136,111354,12.94,7103,1288,90,26.3,13.8,2.11,1.92,71,0,8,1,0
V00137,274496,17.79,9357,253,85,41.8,14.5,2.64,4.05,81,4,0,1,1
V00138,228956,17.34,3609,2017,82,20.9,13.9,3.18,3.66,97,4,2,2,1
V00139,163429,7.28,4226,854,97,34.8,12.9,3.65,7.2,99,0,6,0,0
V00140,58564,7.4,1459,885,86,30.5,14.2,2.42,6.95,52,2,0,0,0
V00141,112356,7.4,4006,1874,97,39.3,13.6,2.11,3.91,95,2,3,0,0
V00142,191967,10.31,10271,1679,104,34.2,11.0,1.74,7.41,78,2,8,3,0
V00143,107238,11.09,8305,1527,99,27.2,10.8,4.87,1.5,95,0,8,5,1
V00144,282693,10.83,6076,1107,102,25.5,12.1,4.34,8.55,71,3,0,0,1
V00145,251955,13.74,8215,2067,78,43.5,11.3,4.17,1.79,85,3,9,2,1
V00146,140388,13.31,10582,557,118,20.7,14.6,2.24,1.82,84,1,0,3,1
V00147,166521,15.34,9252,1351,112,20.4,13.9,4.03,1.1,60,0,1,0,1
V00148,71512,11.27,7250,2054,83,40.7,13.1,2.67,8.0,56,2,1,3,1
V00149,99149,8.38,4785,562,80,35.1,13.6,3.03,2.82,94,2,9,3,0
V00150,200843,14.56,10893,2039,108,30.1,14.1,3.21,1.82,67,0,3,2,1
V00151,196471,12.53,9482,1665,82,21.2,11.0,3.83,7.93,94,3,0,1,1
V00152,130756,7.76,7005,1878,113,42.1,10.5,1.4,6.5,62,3,4,1,1
V00153,196953,15.93,2729,1011,116,35.5,11.1,4.2,8.2,55,1,2,2,0
V00154,292529,7.04,931,2044,93,24.3,14.8,3.84,3.69,58,3,1,2,1
V00155,154437,12.98,2887,437,104,28.3,10.7,2.67,3.94,88,1,3,2,0
V00156,146148,8.88,9047,2143,83,34.8,11.9,2.67,8.08,67,1,9,1,1
V00157,277028,10.06,10636,1970,89,44.4,10.0,1.86,8.06,83,4,9,0,1
V00158,65842,16.9,5985,956,91,39.9,14.2,2.82,5.06,78,1,9,5,0
V00159,260170,17.91,2127,917,70,41.9,10.6,1.22,5.31,62,4,2,5,0
V00160,249195,10.54,9407,648,111,43.0,11.9,3.29,2.93,62,2,9,5,1
V00161,59425,16.39,1238,2026,103,41.4,12.1,1.6,5.22,97,0,9,2,0
V00162,153686,7.77,7440,894,119,20.5,13.8,1.31,7.19,59,1,4,4,1
V00163,129242,14.96,6118,426,84,25.5,13.8,1.31,0.13,98,2,7,2,1
V00164,109193,7.1,4704,164,82,23.7,11.4,3.23,8.38,77,3,8,1,1
V00165,280264,15.45,807,2112,77,33.1,13.0,2.2,8.73,61,3,5,2,1
V00166,189126,15.29,6644,671,106,28.1,12.2,4.41,6.69,73,4,2,0,0
V00167,182850,9.69,6716,676,74,20.5,11.5,3.9,0.95,98,1,0,3,1
V00168,274749,12.45,11496,1664,114,35.2,10.5,3.75,4.92,69,3,6,3,1
V00169,251268,17.82,5266,1228,105,22.5,12.2,2.28,9.02,52,3,2,2,1
V00170,112671,17.48,11461,1748,115,35.8,11.8,2.82,4.01,65,2,5,5,1
V00171,173971,11.28,2325,926,110,28.9,11.8,4.16,1.22,57,4,7,1,0
V00172,180824,7.38,2205,697,110,21.2,12.5,1.13,4.36,58,0,8,3,0
V00173,128053,15.98,7383,2465,107,34.7,14.5,1.21,6.5,76,3,7,3,1
V00174,228673,9.6,2389,491,99,36.1,11.8,4.38,9.15,67,1,6,4,0
V00175,258317,17.68,1444,1879,106,40.8,10.1,4.52,6.47,79,3,2,2,1
V00176,133805,10.92,7082,868,80,33.3,12.4,4.01,8.07,90,3,8,1,1
V00177,257121,15.29,6511,1704,112,43.7,11.4,1.51,4.64,89,0,2,5,1
V00178,142218,17.39,8756,1812,94,43.7,13.7,3.79,6.95,54,0,3,1,1
V00179,267698,13.93,9629,1213,97,44.6,10.0,4.27,8.85,91,0,7,5,1
V00180,174190,8.92,6043,1952,96,23.5,11.0,1.11,1.71,88,3,3,5,1
V00181,150832,15.96,5983,1471,96,21.4,10.9,2.93,7.58,71,2,5,2,1
V00182,208708,12.4,8699,509,96,25.1,12.0,2.8,0.15,80,0,2,3,1
V00183,85069,7.89,9845,2202,97,29.0,10.7,2.63,9.48,68,2,0,3,0
V00184,107427,8.11,7333,1115,92,20.8,14.6,4.67,0.56,84,0,2,0,1
V00185,251192,14.04,1769,2154,81,31.4,13.8,4.31,9.95,67,2,4,3,1
V00186,101446,14.95,2099,2264,110,40.5,14.8,1.7,5.09,67,1,1,5,0
V00187,55186,9.92,5488,406,115,27.7,11.0,4.33,4.32,56,0,5,5,0
V00188,111638,11.08,5163,1776,83,30.6,13.9,1.14,4.95,98,0,1,2,0
V00189,122160,17.24,9941,1110,99,39.8,11.0,2.95,9.73,71,4,7,0,1
V00190,155265,14.01,1896,158,106,20.3,11.9,3.4,9.15,80,0,8,1,0
V00191,204271,15.35,4606,113,97,32.0,10.7,4.8,0.87,79,2,0,4,0
V00192,128142,11.14,2234,1949,100,36.9,10.4,3.29,3.71,94,3,6,3,1
V00193,89384,11.43,7334,2258,87,42.1,11.1,2.93,4.65,51,4,0,5,0
V00194,240035,6.36,7681,200,71,27.7,11.4,2.68,9.23,96,1,3,5,0
V00195,222725,10.5,5663,2314,92,28.8,13.3,3.0,7.57,89,1,1,2,1
V00196,94411,15.78,976,716,119,43.6,13.3,2.51,7.18,93,0,4,2,1
V00197,186165,10.02,4831,1953,76,24.6,10.8,3.31,3.05,92,3,6,2,1
V00198,63408,7.29,2558,809,99,29.2,13.7,3.0,8.75,97,2,9,4,0
V00199,127094,9.82,4212,2499,97,31.1,11.8,2.03,1.17,60,0,2,3,0
V00200,262380,7.26,3156,1845,89,30.2,13.1,4.5,5.89,86,4,9,2,0
V00201,232940,14.91,8250,1422,116,20.6,10.9,2.99,8.19,75,3,4,2,1
V00202,96063,9.53,10103,2258,82,35.8,14.3,2.34,1.0,87,1,2,3,1
V00203,274002,16.07,2150,1981,70,24.3,13.9,2.56,9.51,66,3,0,4,1
V00204,219045,16.26,6874,2005,113,40.3,11.9,3.42,8.29,90,3,4,2,0
V00205,245450,8.06,10099,1072,90,30.7,11.4,1.52,2.95,91,2,6,5,1
V00206,250766,8.22,2532,779,85,34.2,11.0,4.78,0.86,78,2,0,2,0
V00207,242635,6.54,3678,2249,108,34.4,13.8,4.35,6.05,56,4,6,2,0
V00208,256190,17.65,6511,1436,82,27.1,11.1,1.51,5.15,58,1,1,5,1
V00209,187631,16.64,3497,93,100,27.2,11.7,4.41,8.43,52,4,8,5,0
V00210,80864,8.94,11163,98,73,25.4,11.7,1.93,0.82,57,1,1,0,1
V00211,252247,7.22,9657,2224,73,25.3,12.4,3.44,9.13,50,2,0,0,1
V00212,162400,17.17,5607,1195,78,38.6,13.7,2.16,0.41,78,2,4,0,0
V00213,191639,8.7,2794,2297,111,37.9,11.5,3.23,6.88,80,3,4,4,1
V00214,171162,6.75,5249,1008,106,34.9,10.9,3.07,9.54,92,0,5,5,0
V00215,265041,14.36,1190,1501,95,31.9,12.7,2.04,7.79,51,2,2,0,1
V00216,168548,8.3,6800,957,93,21.9,10.5,3.75,6.29,85,4,0,1,1
V00217,169419,14.48,10680,511,72,44.0,10.4,1.77,0.22,94,2,6,5,1
V00218,89830,8.87,8009,845,80,42.3,11.6,4.35,2.66,68,1,9,2,0
V00219,96550,8.47,3450,947,105,25.9,14.9,1.94,3.03,99,1,1,3,1
V00220,239183,6.33,6795,630,112,27.4,12.5,4.45,5.49,53,3,0,2,1
V00221,272328,10.56,1622,895,113,37.8,11.6,2.72,3.27,91,4,9,3,1
V00222,177088,10.31,5188,1733,95,40.8,10.3,3.14,3.96,99,0,4,5,1
V00223,223526,9.95,3651,1753,80,26.2,13.3,4.43,3.92,87,1,3,4,1
V00224,93046,12.5,2494,283,100,21.6,12.9,1.32,1.18,98,0,8,1,1
V00225,111613,6.6,6333,1706,110,41.8,14.5,1.25,1.99,60,0,6,1,1
V00226,91718,9.51,4345,2130,110,35.1,12.3,3.09,5.2,75,4,6,2,0
V00227,198655,10.64,6072,501,112,34.3,14.5,2.65,8.13,83,1,0,2,1
V00228,131976,15.58,7898,136,75,41.4,12.6,3.18,4.54,72,4,7,2,0
V00229,176005,13.94,2218,562,106,42.9,14.6,4.31,5.27,91,0,4,1,0
V00230,168536,15.43,2884,432,101,26.2,13.3,3.63,2.93,92,1,7,3,0
V00231,131989,9.68,9767,2111,104,39.2,14.5,1.23,1.41,73,2,4,0,0
V00232,127028,15.15,1933,1551,74,40.4,11.1,2.39,5.72,85,4,3,0,1
V00233,100685,9.06,9738,1005,108,25.7,13.9,2.98,4.52,89,3,5,0,0
V00234,275759,17.82,9450,1110,118,30.1,14.2,4.31,0.75,58,0,7,1,0
V00235,134158,8.54,4109,536,81,20.6,13.9,4.74,8.11,83,4,7,0,1
V00236,252117,17.81,7412,1469,106,31.4,10.9,3.03,9.78,88,3,8,4,0
V00237,82707,17.47,7900,623,89,34.8,14.8,4.89,1.69,74,3,3,1,0
V00238,147014,15.14,5287,1878,105,20.9,10.4,4.43,2.8,75,4,8,3,1
V00239,58293,6.78,10509,1333,107,30.8,11.2,4.03,4.6,85,3,3,0,0
V00240,172871,9.38,2703,1645,77,39.5,11.3,3.5,7.99,78,4,6,3,1
V00241,168321,10.04,10453,422,72,28.4,14.7,2.31,0.02,95,4,7,5,0
V00242,78216,11.49,8053,2293,108,30.1,11.3,3.62,9.7,79,3,3,2,0
V00243,238319,16.85,6560,1320,87,23.9,11.8,2.87,7.15,59,1,2,5,1
V00244,200183,6.89,6214,1453,88,36.2,11.5,4.09,0.69,66,3,2,2,0
V00245,180353,13.3,11398,1987,79,24.3,14.1,3.18,5.39,73,3,5,1,1
V00246,169131,10.69,8676,2121,109,29.2,14.2,3.72,8.04,72,4,9,1,1
V00247,242694,15.67,5292,2123,113,21.8,14.7,1.96,0.76,59,1,0,0,0
V00248,238252,11.93,4855,1964,115,21.0,11.0,3.81,0.34,89,1,2,1,0
V00249,141442,10.02,2904,1034,118,43.7,13.8,3.37,4.03,75,0,5,5,0
V00250,184369,8.75,9347,794,83,35.9,11.1,4.89,0.89,63,4,1,3,0
V00251,160849,6.88,9896,2183,119,26.0,11.7,1.36,2.79,82,4,7,4,1
V00252,162450,7.0,4006,1202,82,20.1,14.7,2.06,3.49,58,3,1,5,0
V00253,70727,7.12,11043,1508,108,31.3,13.6,4.8,7.2,94,1,1,3,1
V00254,91483,12.21,9006,2430,110,32.3,13.6,4.19,9.66,64,2,1,1,0
V00255,145410,15.6,9273,628,80,25.3,10.7,3.49,9.06,71,1,4,3,0
V00256,57367,6.4,7885,986,108,34.9,14.4,1.37,6.16,84,2,9,4,0
V00257,277745,12.12,10606,419,76,39.7,14.9,1.13,7.31,99,4,0,5,1
V00258,194675,13.56,4843,1091,101,33.3,13.9,1.1,6.93,93,1,2,2,0
V00259,74594,15.1,10705,629,92,35.2,10.9,4.71,3.05,50,0,4,4,0
V00260,257746,16.98,4137,1729,95,39.7,12.9,1.97,8.81,72,1,7,2,0
V00261,221763,17.14,11061,2254,107,28.8,10.3,3.18,0.25,55,3,2,0,1
V00262,131449,9.8,4530,1336,71,37.4,11.1,1.83,5.14,82,1,8,4,1
V00263,200089,17.99,1770,1717,76,20.5,12.5,2.06,3.8,95,0,8,0,0
V00264,225520,12.54,2495,1890,104,32.1,13.6,2.9,1.11,96,3,0,4,1
V00265,247054,8.06,4776,99,84,23.0,12.5,4.07,2.6,95,3,1,1,0
V00266,282073,8.41,7999,1012,115,37.7,10.9,4.31,8.45,92,1,1,3,1
V00267,56165,9.48,4676,1875,91,43.6,14.9,4.86,9.58,95,4,5,5,0
V00268,296306,15.92,2865,1939,70,28.3,12.1,4.38,7.95,77,4,6,5,1
V00269,272973,11.3,5084,467,110,36.0,12.2,1.47,4.9,99,4,0,3,1
V00270,110705,8.19,5197,1142,119,38.9,14.8,2.62,5.42,53,1,8,0,0
V00271,107568,11.25,2971,907,81,26.5,13.7,3.66,9.72,87,3,4,3,1
V00272,68423,6.02,10171,789,95,21.5,13.9,1.8,4.27,92,1,1,0,1
V00273,256435,13.87,5155,2076,119,26.0,11.3,3.64,6.15,77,4,8,5,1
V00274,64423,10.12,4052,430,105,43.0,14.6,3.38,9.25,56,2,3,0,0
V00275,112685,15.82,5736,1236,79,29.2,10.8,2.63,0.17,79,3,8,1,0
V00276,154880,15.85,3802,1866,118,35.8,14.9,1.31,7.77,87,1,4,1,0
V00277,180338,15.45,1875,2437,82,21.5,11.7,2.58,0.17,77,4,3,0,0
V00278,269883,12.34,2324,2008,95,35.9,14.3,3.77,6.89,50,3,0,0,1
V00279,212151,14.97,3765,483,119,35.5,14.5,4.12,5.96,54,0,8,1,0
V00280,183444,12.88,5817,438,70,33.5,12.3,4.75,1.63,95,3,8,1,0
V00281,184896,10.68,3890,461,113,25.4,12.4,4.17,3.35,63,3,9,0,0
V00282,271509,10.04,1983,344,81,34.8,13.1,2.71,7.75,53,2,5,3,0
V00283,174698,17.33,2059,1243,115,21.4,13.1,1.94,6.07,62,4,2,1,1
V00284,277024,12.92,9478,2278,96,40.7,12.1,4.51,3.93,61,0,8,1,1
V00285,148593,9.95,4592,2435,88,31.1,10.1,1.46,9.26,60,3,0,1,0
V00286,229805,11.61,3464,535,109,33.3,10.5,4.79,7.44,61,4,0,5,1
V00287,137000,13.87,7505,1599,80,43.2,11.7,2.27,0.44,79,3,4,3,1
V00288,255732,7.66,8419,1050,83,32.7,12.5,3.2,5.78,62,3,3,1,0
V00289,232094,10.07,9433,391,110,37.9,13.0,3.21,5.46,84,2,4,4,1
V00290,102811,15.27,1755,1857,86,37.4,12.0,4.49,5.07,91,0,6,3,0
V00291,169504,9.48,1224,422,105,35.8,10.7,4.21,2.57,67,0,8,4,0
V00292,166865,15.2,5111,91,79,34.3,11.5,2.38,6.99,57,0,9,2,0
V00293,87173,10.55,11588,2241,75,23.7,14.7,4.61,4.78,88,4,5,1,0
V00294,299123,14.45,2506,1189,86,21.1,11.9,4.53,6.01,92,4,7,2,1
V00295,53158,16.12,2616,1171,100,27.4,11.0,3.18,1.39,57,2,8,5,0
V00296,188302,7.37,8556,869,95,31.9,14.1,3.85,4.46,51,4,5,2,0
V00297,135762,9.11,9822,755,106,20.4,10.6,2.5,9.34,67,3,1,5,1
V00298,292708,11.61,10656,90,76,31.7,12.5,1.59,0.16,56,3,2,1,1
V00299,231473,10.61,6557,453,104,23.7,15.0,3.35,7.11,68,2,9,0,0
V00300,194811,13.11,2603,2229,110,35.3,14.2,4.58,2.71,83,3,3,4,0
V00301,223473,15.94,5358,688,100,23.3,12.0,1.81,6.57,90,1,0,1,1
V00302,202166,12.48,7709,1083,105,44.7,10.1,3.76,3.33,98,0,1,5,1
V00303,282909,14.82,5337,938,92,22.9,14.7,3.08,7.91,92,1,8,1,1
V00304,108592,9.33,6377,1986,91,37.9,11.5,2.09,7.15,79,1,3,2,1
V00305,291382,6.4,6547,1553,83,23.3,13.4,4.48,2.55,75,1,1,0,0
V00306,162503,17.02,4786,454,100,23.4,13.2,4.65,8.27,50,4,6,3,0
V00307,190126,17.97,9020,474,83,39.6,11.7,4.57,8.91,79,4,4,3,0
